Model,Category
"LG Super-Multi DVD Rewriter",Misc.
"Lenovo Performance Backpack",Misc.
"Lenovo Kensington MicroSaver Security Cable Lock",Misc.
"Lenovo Essential Wireless Combo Keyboard & Mouse",Misc.
"Lenovo Laser Wireless Mouse",Misc.
"Lenovo ThinkPad AC Adapter",Misc.
"Kensington International Travel Adapter",Misc.
"Acer V226HQL Monitor",Computers
"Lenovo Thinkpad Li-ion Battery 68 (3-cell)",Misc.
"Lenovo ThinkPad 6-cell Battery",Misc.
"Lenovo 57+ ThinkPad Battery",Misc.
"Lenovo ThinkPad Pro Dock - 90 W",Misc.
"Lenovo ThinkPad Ultra Dock",Misc.
"Lenovo ThinkPad 3.0 Pro Dock",Misc.
"Cisco SG300-28 Layer 3 Switch",Networking
"Cisco SG300-52 Layer 3 Switch",Networking
"APC Smart-UPS 1500VA LCD RM 120V UPS",Misc.
"APC Smart-UPS 3000VA LCD RM 120V UPS",Misc.
"APC Smart-UPS 3000VA LCD RM 2U 230V",Misc.
"Belkin 24 Port Cat6 Patch Panel",Networking
"APC Office 120V SurgeArrest",Misc.
"Cyberoam CR25iNG Unified Threat Management Appliance",Networking
"Cyberoam CR25iNG 3 Year Total Value Subscription Plus",Software
"Cyberoam CR35iNG Unified Threat Management Appliance",Networking
"Cyberoam Total Value Subscription Plus (35)",Software
"Cyberoam CR50iNG Unified Threat Management Appliance",Networking
"Cyberoam CR50iNG 3 Years Total Value Subscription Plus",Software
"Cyberoam CR100iNG Unified Threat Management Appliance",Networking
"Cyberoam Total Value Subscription Plus (100)",Software
"Cyberoam CR200iNG Appliance",Networking
"Cyberoam Total Value Subscription Plus (200)",Software
"Ubiquiti UniFi AC Pro Access Point",Networking
"Ubiquiti NanoStationM",Networking
"Plantronics SupraPlus HW261N Headset",Misc.
"Plantronics Headset Adapter Cable",Misc.
"Griffin Survivor Extreme-Duty",Misc.
"Microsoft Office Pro Plus 2016",Software
"Cisco SF300-48PP Switch",Networking
"Adobe Photoshop Elements 2018",Software
"Jabra UC Voice 150 Duo Headset",Misc.
"Logitech H540 USB Headset",Misc.
"Logitech H800 Wireless Headset",Misc.
"ClearOne Chat 150 Speaker Phone","Video Conferencing"
"Clearone Chat 160 Conference Phone",Misc.
"Kingston DataTraveler G4 32GB USB 3.0 Flash Drive",Misc.
"Lenovo Mini-DisplayPort to VGA Adapter",Misc.
"Lenovo Mini DisplayPort to DVI Adapter ",Misc.
"ClearOne CHAT 50 USB Speaker Phone",Misc.
"ClearOne Chat 60 ",Misc.
"Lenovo ThinkPad Battery 70+ (6 cell) ",Misc.
"Canon VIXIA HF R500 Full HD Camcorder",Misc.
"Audio-Technica ATR3350iS Omnidirectional Condenser Lavalier Microphone for Smartphones	",Misc.
"Tripp Lite Mini Stereo Audio Extension Cable	",Misc.
"Magnus VT-200 Tripod System with 2-Way Pan Head",Misc.
"Kodak A241 40-in-1 Memory Card Reader	",Misc.
"ASUS P2B Battery-Powered Portable LED Projector	",Misc.
"SurveyMonkey Gold Subscription License",Software
"Logitech H390 USB Wired Headset with Microphone",Misc.
"Transcend 32GB SDHC Memory Card Premium Class 10 UHS-I B	",Misc.
"Transcend 32GB microSDHC Memory Card Premium 300x Class 10 UHS-I with microSD Adapter	",Misc.
"Microsoft Windows Server Standard 2016",Software
"Plantronics S11 Headset",Misc.
"HP Glossy Roll Paper, Part No: Q1427A",Printing
"HP 72 Photo Black Ink Cartridge",Non-Standard
"Nuance Dragon NaturallySpeaking v.13.0 Home ",Software
"Lenovo ThinkPad 65W AC Adapter",Misc.
"Boxlight CLK-C3-CS-120",Misc.
"Boxlight / C3 Support, Bronze Service, 1 Year",Software
"SnagIt (Volume Discount Applied)",Software
"SnagIt Maintenance (Volume Discount Applied)",Software
"Ergotron LX Desk Mount Arm",Misc.
"Think-Cell License",Software
"SIIG USB 3.0 to VGA Slim Adapter ",Misc.
"AppleCare Warranty",Software
"Tripp Lite Patch Cable ",Networking
"Tripp Lite Power It! Power Strip ",Misc.
" Techflex Split Sleeving",Misc.
"HP LaserJet M605x Laser Printer (220 V) ",Printing
"Dell 4320 Projector ",Misc.
"Cat5e Molded RJ45 Network Patch Cable ",Networking
"JVC Stereo Headphones - Black",Misc.
"Cat5e Patch Cable RJ-45 to RJ-45, 3ft",Networking
"NVivo Server Package",Software
"Autodesk AutoCAD LT 2018",Software
"NVivo Pro 24 Months Subscription",Software
"NVivo Software Maintenance - 36 Month Subscription",Software
"Microsoft Windows Server Standard 2016 CAL",Software
"IntelliTone Pro 200 LAN Toner and Probe",Printing
"World Tools Pro",Software
"Microsoft Visio Pro 2016 Software",Software
"Lenovo ThinkPad Battery 35+ (6 Cell)",Misc.
"Logitech H600 Wireless Headset",Misc.
"Axiom Ax - DDR3L - 8 GB - So-DIMM 204-pin ",Misc.
"NVIVO Server Client Access License (CAL) ",Software
